sku,model,folds,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_MAPE,mean_WAPE,std_WAPE,median_WAPE,mean_bias,wape_cv,unstable,composite
P101,Gradient Boosting,4,14.7948,5.4324,24.902,14.5712,10.7568,10.4119,3.3625,9.6442,-2.7877,0.3229,False,0.0421
P101,Holt-Winters ES,4,17.0731,6.0522,28.8364,15.6578,11.5681,12.0516,4.003,12.2634,2.4672,0.3322,False,0.1247
P101,Moving Average (28d),4,44.5607,5.3401,56.9206,9.3929,61.6444,31.5825,2.6423,31.0754,-0.2542,0.0837,False,1.0
P101,Random Forest,4,13.5154,5.4723,23.3415,15.6628,9.1613,9.5077,3.4795,9.3389,-0.091,0.366,False,0.0
P101,"SARIMA (1,1,1)x(1,0,1)7",4,17.3232,6.0712,28.509,16.0029,13.4952,12.2181,3.9371,12.705,1.6213,0.3222,False,0.129
P101,XGBoost,4,14.6605,5.6441,24.4948,14.7981,10.1235,10.315,3.5461,9.8744,-0.8121,0.3438,False,0.0362
P102,Gradient Boosting,4,9.6958,1.6635,14.9539,5.5261,11.9609,11.6714,2.0372,11.4762,0.7386,0.1745,False,0.0241
P102,Holt-Winters ES,4,9.9477,2.4059,15.2926,5.8541,11.8631,11.9361,2.6784,11.4676,-3.9361,0.2244,False,0.0381
P102,Moving Average (28d),4,27.1816,2.3074,33.3156,3.2984,59.4892,32.6572,0.4817,32.6114,-3.7964,0.0148,False,1.0
P102,Random Forest,4,9.3086,2.8121,14.6262,6.1191,10.6718,11.1373,3.0236,11.0849,-2.8068,0.2715,False,0.0018
P102,"SARIMA (1,1,1)x(1,0,1)7",4,10.3649,1.7665,15.9139,5.1392,13.7404,12.4467,1.8196,12.1585,-5.8969,0.1462,False,0.0636
P102,XGBoost,4,9.2818,2.4917,14.5028,5.8447,10.7551,11.1432,2.8779,10.5456,-1.6542,0.2583,False,0.0001
P103,Gradient Boosting,4,5.8058,2.1733,8.2382,3.8074,14.179,13.0218,4.7525,11.7266,1.2839,0.365,False,0.0692
P103,Holt-Winters ES,4,5.4628,1.8372,8.4738,3.9168,11.8354,12.1778,3.4657,12.743,-1.2749,0.2846,False,0.043
P103,Moving Average (28d),4,14.6,1.3377,18.3665,1.7881,64.5438,32.857,1.5107,33.2925,-1.2387,0.046,False,1.0
P103,Random Forest,4,5.1304,1.9431,7.8751,4.0238,11.1771,11.4174,3.7396,11.9127,-1.3922,0.3275,False,0.0035
P103,"SARIMA (1,1,1)x(1,0,1)7",4,5.5379,1.8614,8.5524,3.9241,13.101,12.333,3.3919,12.6081,-1.5572,0.275,False,0.0505
P103,XGBoost,4,5.1774,1.969,7.6862,3.9749,11.827,11.554,4.0136,11.762,-0.1037,0.3474,False,0.0047
P104,Gradient Boosting,4,17.292,7.6813,24.0343,9.0184,14.6063,15.7086,3.2513,15.8634,-15.6632,0.207,False,0.0468
P104,Holt-Winters ES,4,16.755,7.3221,23.6957,9.1694,14.3694,15.3238,4.2164,15.3423,-14.9734,0.2752,False,0.0296
P104,Moving Average (28d),4,41.5155,13.9687,46.7461,13.9648,63.5474,38.4492,4.4554,38.0894,-15.6952,0.1159,False,1.0
P104,Random Forest,4,17.0832,7.9274,23.7591,9.4136,14.7509,15.5086,4.2903,15.8957,-14.82,0.2766,False,0.0378
P104,"SARIMA (1,1,1)x(1,0,1)7",4,17.3997,7.1421,24.4938,8.8196,15.1218,15.9457,3.6085,15.709,-14.9201,0.2263,False,0.0569
P104,XGBoost,4,16.165,7.8402,22.8342,9.396,13.552,14.5902,3.9178,15.2442,-13.8582,0.2685,False,0.0
P105,Gradient Boosting,4,2.9745,0.3725,4.2313,1.0563,10.3255,9.7654,1.5603,9.8096,-0.6795,0.1598,False,0.0
P105,Holt-Winters ES,4,3.1377,0.2449,4.3868,1.0691,13.0543,10.2873,1.1923,9.7735,-0.179,0.1159,False,0.0211
P105,Moving Average (28d),4,10.4917,0.5068,12.0693,0.6386,61.0922,34.3231,1.9297,34.0482,-1.7488,0.0562,False,1.0
P105,Random Forest,4,3.0975,0.3986,4.343,0.991,9.871,10.1549,1.5427,10.1716,-1.4925,0.1519,False,0.0157
