sku,fold,train_start,train_end,test_start,test_end,model,n_test_days,MAE,RMSE,MAPE,WAPE,SMAPE,bias,error
P101,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Moving Average (28d),30,40.5643,54.6331,63.2076,29.0645,34.0894,5.1119,
P101,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Holt-Winters ES,30,22.2806,35.8431,15.5686,15.9641,14.0999,12.6427,
P101,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,"SARIMA (1,1,1)x(1,0,1)7",30,21.2456,34.5726,15.9226,15.2225,14.273,10.9691,
P101,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Random Forest,30,13.773,21.2688,10.2081,9.8684,10.0075,1.9477,
P101,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,Gradient Boosting,30,14.0108,23.0534,10.4941,10.0388,10.9116,-4.6925,
P101,0,2023-01-29,2025-09-02,2025-09-03,2025-10-02,XGBoost,30,14.999,23.7647,10.7565,10.7468,10.6324,0.1034,
P101,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Moving Average (28d),30,41.5238,49.581,57.9251,30.1772,35.26,0.7571,
P101,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Holt-Winters ES,30,10.6165,14.9779,7.6469,7.7155,7.5312,2.9158,
P101,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,"SARIMA (1,1,1)x(1,0,1)7",30,10.5632,14.4208,9.2029,7.6767,8.7158,2.1157,
P101,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Random Forest,30,7.5058,10.4527,5.4735,5.4548,5.5203,1.3118,
P101,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,Gradient Boosting,30,9.9438,14.2608,7.7932,7.2266,8.3313,-7.4883,
P101,1,2023-01-29,2025-10-02,2025-10-03,2025-11-01,XGBoost,30,9.0086,12.6613,6.574,6.547,6.7459,-2.2581,
P101,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Moving Average (28d),30,43.8571,52.8113,62.1224,31.9736,37.2067,1.9405,
P101,2,2023-01-29,2025-11-01,2025-11-02,2025-12-01,Holt-Winters ES,30,13.2088,16.9182,10.2971,9.6298,10.6283,1.6603,
