sku,model,feature,importance
P101,Random Forest,dow,1.691466369969585
P101,Random Forest,month,4.4649854013023574e-05
P101,Random Forest,weekofyear,2.4704192613800302e-05
P101,Random Forest,trend_idx,0.0
P101,Random Forest,lag_1,-0.0005825261116436442
P101,Random Forest,lag_7,0.011795325275570789
P101,Random Forest,lag_14,0.002692176368686372
P101,Random Forest,lag_28,0.0023095146076045348
P101,Random Forest,roll_mean_7,-0.0010213169101205733
P101,Random Forest,roll_std_7,-3.8102962215424975e-05
P101,Random Forest,roll_mean_28,-6.0518990868918544e-05
P101,Random Forest,roll_std_28,-0.00047289230057352417
P101,Random Forest,promo_flag,0.19805437018604205
P101,Random Forest,unit_price,-0.000572303108208394
P101,Random Forest,stockout_flag,0.0
P102,Gradient Boosting,dow,1.7931334771887264
P102,Gradient Boosting,month,0.00021730332509721783
P102,Gradient Boosting,weekofyear,0.011386124788100216
P102,Gradient Boosting,trend_idx,0.0
P102,Gradient Boosting,lag_1,0.0053304769721370885
P102,Gradient Boosting,lag_7,-0.001879554611152545
P102,Gradient Boosting,lag_14,0.01034304413296594
P102,Gradient Boosting,lag_28,0.003227030119304075
P102,Gradient Boosting,roll_mean_7,-0.00232044095599806
P102,Gradient Boosting,roll_std_7,0.004981643067972663
P102,Gradient Boosting,roll_mean_28,0.011410547081434097
P102,Gradient Boosting,roll_std_28,0.005263191038703962
P102,Gradient Boosting,promo_flag,0.23263917859740527
P102,Gradient Boosting,unit_price,-0.00022288701938548704
P102,Gradient Boosting,stockout_flag,0.0
P103,Random Forest,dow,1.5673715683182947
P103,Random Forest,month,-0.003791184687250926
P103,Random Forest,weekofyear,-0.002810680288101364
P103,Random Forest,trend_idx,0.0
P103,Random Forest,lag_1,0.0005814622369306299
P103,Random Forest,lag_7,-0.005688776948948826
P103,Random Forest,lag_14,-0.005881898945457565
P103,Random Forest,lag_28,-0.014550220526042535
P103,Random Forest,roll_mean_7,-0.0016715910648884779
P103,Random Forest,roll_std_7,-0.0012515370893813715
P103,Random Forest,roll_mean_28,0.003681342382376629
P103,Random Forest,roll_std_28,0.0002556707644185252
P103,Random Forest,promo_flag,0.20362429678273192
P103,Random Forest,unit_price,0.00037160769486870303
P103,Random Forest,stockout_flag,0.0
P104,XGBoost,dow,0.7109977722167968
P104,XGBoost,month,0.00026652812957763674
P104,XGBoost,weekofyear,0.013604974746704102
P104,XGBoost,trend_idx,0.0
P104,XGBoost,lag_1,-0.006579220294952393
P104,XGBoost,lag_7,0.041827845573425296
P104,XGBoost,lag_14,-0.04473601579666138
P104,XGBoost,lag_28,-0.017482244968414308
P104,XGBoost,roll_mean_7,0.004400706291198731
P104,XGBoost,roll_std_7,0.004336357116699219
P104,XGBoost,roll_mean_28,0.016831886768341065
P104,XGBoost,roll_std_28,-0.026444554328918457
P104,XGBoost,promo_flag,0.0574876070022583
P104,XGBoost,unit_price,-0.0028262972831726075
P104,XGBoost,stockout_flag,0.0
P105,Gradient Boosting,dow,1.431870567138858
P105,Gradient Boosting,month,0.0004250536244092107
P105,Gradient Boosting,weekofyear,0.010414065892371083
P105,Gradient Boosting,trend_idx,0.0
P105,Gradient Boosting,lag_1,0.005786022300990568
P105,Gradient Boosting,lag_7,0.006941405614132923
P105,Gradient Boosting,lag_14,0.0036047955698188527
P105,Gradient Boosting,lag_28,0.005718014547454487
P105,Gradient Boosting,roll_mean_7,-0.0031030019705863944
P105,Gradient Boosting,roll_std_7,0.00010289791169393325
P105,Gradient Boosting,roll_mean_28,0.02188126020253194
P105,Gradient Boosting,roll_std_28,-0.0017932158266676934
P105,Gradient Boosting,promo_flag,0.033236378916246624
P105,Gradient Boosting,unit_price,0.0016597085872130934
P105,Gradient Boosting,stockout_flag,0.0
P106,XGBoost,dow,0.9325070023536682
P106,XGBoost,month,-0.0011153101921081543
P106,XGBoost,weekofyear,0.0023206591606140135
P106,XGBoost,trend_idx,0.0
P106,XGBoost,lag_1,-0.006276845932006836
P106,XGBoost,lag_7,0.0036076068878173827
P106,XGBoost,lag_14,0.003962290287017822
P106,XGBoost,lag_28,0.0041253089904785155
P106,XGBoost,roll_mean_7,-0.002629208564758301
P106,XGBoost,roll_std_7,0.004141008853912354
P106,XGBoost,roll_mean_28,0.00018157958984375
P106,XGBoost,roll_std_28,0.004659175872802734
P106,XGBoost,promo_flag,0.5102738618850708
P106,XGBoost,unit_price,-0.0008443117141723633
P106,XGBoost,stockout_flag,0.0
P107,XGBoost,dow,1.116580867767334
P107,XGBoost,month,-0.006224727630615235
P107,XGBoost,weekofyear,0.006687331199645996
P107,XGBoost,trend_idx,0.0
P107,XGBoost,lag_1,0.0007198452949523926
P107,XGBoost,lag_7,0.020673859119415283
P107,XGBoost,lag_14,0.005349397659301758
P107,XGBoost,lag_28,-0.009525132179260255
P107,XGBoost,roll_mean_7,0.0033924102783203123
P107,XGBoost,roll_std_7,0.00047811269760131834
P107,XGBoost,roll_mean_28,0.010061883926391601
P107,XGBoost,roll_std_28,-0.0021658778190612794
P107,XGBoost,promo_flag,0.13620249032974244
P107,XGBoost,unit_price,0.0007716655731201172
P107,XGBoost,stockout_flag,0.0
P108,Gradient Boosting,dow,0.9814974179556242
P108,Gradient Boosting,month,0.002916992680290731
P108,Gradient Boosting,weekofyear,0.0030490029509205206
P108,Gradient Boosting,trend_idx,0.0
P108,Gradient Boosting,lag_1,0.005725987457844384
P108,Gradient Boosting,lag_7,0.008620995792134045
P108,Gradient Boosting,lag_14,-0.0021648691293771004
P108,Gradient Boosting,lag_28,0.0031604321470650953
P108,Gradient Boosting,roll_mean_7,0.001895143023831869
P108,Gradient Boosting,roll_std_7,0.0033415606307577008
P108,Gradient Boosting,roll_mean_28,0.015940911874365284
P108,Gradient Boosting,roll_std_28,-0.002528169834860328
P108,Gradient Boosting,promo_flag,0.14536043481591102
P108,Gradient Boosting,unit_price,-0.003157425634819777
P108,Gradient Boosting,stockout_flag,0.0
P109,Gradient Boosting,dow,0.8266363848598205
P109,Gradient Boosting,month,3.240445986296692e-05
P109,Gradient Boosting,weekofyear,-0.010774107013475276
P109,Gradient Boosting,trend_idx,0.0
P109,Gradient Boosting,lag_1,0.0023579871432406253
P109,Gradient Boosting,lag_7,0.045640181935281965
P109,Gradient Boosting,lag_14,0.012760626935779262
P109,Gradient Boosting,lag_28,0.0015713909709240026
P109,Gradient Boosting,roll_mean_7,0.001689516423998705
P109,Gradient Boosting,roll_std_7,-0.0009804684972285482
P109,Gradient Boosting,roll_mean_28,-0.001148511421475762
P109,Gradient Boosting,roll_std_28,-0.00027555256396529784
P109,Gradient Boosting,promo_flag,0.19507697420412104
P109,Gradient Boosting,unit_price,-0.001419159037657769
P109,Gradient Boosting,stockout_flag,0.0
P111,XGBoost,dow,0.9399510264396668
P111,XGBoost,month,-0.011923682689666749
P111,XGBoost,weekofyear,0.001432514190673828
P111,XGBoost,trend_idx,0.0
P111,XGBoost,lag_1,0.002238178253173828
P111,XGBoost,lag_7,0.015123367309570312
P111,XGBoost,lag_14,0.00665658712387085
P111,XGBoost,lag_28,0.022464871406555176
P111,XGBoost,roll_mean_7,-0.0007164835929870606
P111,XGBoost,roll_std_7,0.006810176372528076
P111,XGBoost,roll_mean_28,-0.0023014307022094726
P111,XGBoost,roll_std_28,-0.0007389068603515625
P111,XGBoost,promo_flag,0.18600584268569947
