sku,model,feature,importance,method
P101,Random Forest,dow,42.925424,shap
P101,Random Forest,month,0.127495,shap
P101,Random Forest,weekofyear,0.486868,shap
P101,Random Forest,trend_idx,4.996946,shap
P101,Random Forest,lag_1,0.497766,shap
P101,Random Forest,lag_7,0.828921,shap
P101,Random Forest,lag_14,0.449262,shap
P101,Random Forest,lag_28,0.580896,shap
P101,Random Forest,roll_mean_7,0.674895,shap
P101,Random Forest,roll_std_7,0.718128,shap
P101,Random Forest,roll_mean_28,0.697195,shap
P101,Random Forest,roll_std_28,0.920345,shap
P101,Random Forest,promo_flag,8.575959,shap
P101,Random Forest,unit_price,0.413195,shap
P101,Random Forest,stockout_flag,0.0,shap
P102,XGBoost,dow,23.059818,shap
P102,XGBoost,month,0.250459,shap
P102,XGBoost,weekofyear,2.896431,shap
P102,XGBoost,trend_idx,1.331783,shap
P102,XGBoost,lag_1,1.129545,shap
P102,XGBoost,lag_7,2.505942,shap
P102,XGBoost,lag_14,1.321538,shap
P102,XGBoost,lag_28,0.883494,shap
P102,XGBoost,roll_mean_7,1.267784,shap
P102,XGBoost,roll_std_7,0.834775,shap
P102,XGBoost,roll_mean_28,1.979906,shap
P102,XGBoost,roll_std_28,0.729912,shap
P102,XGBoost,promo_flag,4.062259,shap
P102,XGBoost,unit_price,0.30262,shap
P102,XGBoost,stockout_flag,0.0,shap
P103,Random Forest,dow,14.144376,shap
P103,Random Forest,month,0.110224,shap
P103,Random Forest,weekofyear,0.71693,shap
P103,Random Forest,trend_idx,0.638256,shap
P103,Random Forest,lag_1,0.146536,shap
P103,Random Forest,lag_7,0.095265,shap
P103,Random Forest,lag_14,0.16985,shap
P103,Random Forest,lag_28,0.240159,shap
P103,Random Forest,roll_mean_7,0.22344,shap
P103,Random Forest,roll_std_7,0.16146,shap
P103,Random Forest,roll_mean_28,1.772363,shap
P103,Random Forest,roll_std_28,0.211734,shap
P103,Random Forest,promo_flag,2.356205,shap
P103,Random Forest,unit_price,0.171016,shap
P103,Random Forest,stockout_flag,0.0,shap
P104,XGBoost,dow,22.391943,shap
P104,XGBoost,month,0.472439,shap
P104,XGBoost,weekofyear,2.153337,shap
P104,XGBoost,trend_idx,3.333893,shap
P104,XGBoost,lag_1,0.991344,shap
P104,XGBoost,lag_7,3.396672,shap
P104,XGBoost,lag_14,1.859284,shap
P104,XGBoost,lag_28,1.303381,shap
P104,XGBoost,roll_mean_7,0.862531,shap
P104,XGBoost,roll_std_7,0.834686,shap
P104,XGBoost,roll_mean_28,4.398551,shap
P104,XGBoost,roll_std_28,0.615986,shap
P104,XGBoost,promo_flag,4.566728,shap
P104,XGBoost,unit_price,0.314079,shap
P104,XGBoost,stockout_flag,0.0,shap
P105,Gradient Boosting,dow,7.970297,shap
P105,Gradient Boosting,month,0.360336,shap
P105,Gradient Boosting,weekofyear,0.597234,shap
P105,Gradient Boosting,trend_idx,0.328011,shap
P105,Gradient Boosting,lag_1,0.425601,shap
P105,Gradient Boosting,lag_7,0.354223,shap
P105,Gradient Boosting,lag_14,0.485628,shap
