sku,model,MAE,RMSE,MAPE,WAPE,WAPE_std,mean_bias,n_folds,unstable,composite
P101,Gradient Boosting,14.7948,24.902,10.7568,10.4119,3.3625,-2.7877,4,False,0.0421
P101,Holt-Winters ES,17.0731,28.8364,11.5681,12.0516,4.003,2.4672,4,False,0.1247
P101,Moving Average (28d),44.5607,56.9206,61.6444,31.5825,2.6423,-0.2542,4,False,1.0
P101,Random Forest,13.5154,23.3415,9.1613,9.5077,3.4795,-0.091,4,False,0.0
P101,"SARIMA (1,1,1)x(1,0,1)7",17.3232,28.509,13.4952,12.2181,3.9371,1.6213,4,False,0.129
P101,XGBoost,14.6605,24.4948,10.1235,10.315,3.5461,-0.8121,4,False,0.0362
P102,Gradient Boosting,9.6958,14.9539,11.9609,11.6714,2.0372,0.7386,4,False,0.0241
P102,Holt-Winters ES,9.9477,15.2926,11.8631,11.9361,2.6784,-3.9361,4,False,0.0381
P102,Moving Average (28d),27.1816,33.3156,59.4892,32.6572,0.4817,-3.7964,4,False,1.0
P102,Random Forest,9.3086,14.6262,10.6718,11.1373,3.0236,-2.8068,4,False,0.0018
P102,"SARIMA (1,1,1)x(1,0,1)7",10.3649,15.9139,13.7404,12.4467,1.8196,-5.8969,4,False,0.0636
P102,XGBoost,9.2818,14.5028,10.7551,11.1432,2.8779,-1.6542,4,False,0.0001
P103,Gradient Boosting,5.8058,8.2382,14.179,13.0218,4.7525,1.2839,4,False,0.0692
P103,Holt-Winters ES,5.4628,8.4738,11.8354,12.1778,3.4657,-1.2749,4,False,0.043
P103,Moving Average (28d),14.6,18.3665,64.5438,32.857,1.5107,-1.2387,4,False,1.0
P103,Random Forest,5.1304,7.8751,11.1771,11.4174,3.7396,-1.3922,4,False,0.0035
P103,"SARIMA (1,1,1)x(1,0,1)7",5.5379,8.5524,13.101,12.333,3.3919,-1.5572,4,False,0.0505
P103,XGBoost,5.1774,7.6862,11.827,11.554,4.0136,-0.1037,4,False,0.0047
P104,Gradient Boosting,17.292,24.0343,14.6063,15.7086,3.2513,-15.6632,4,False,0.0468
P104,Holt-Winters ES,16.755,23.6957,14.3694,15.3238,4.2164,-14.9734,4,False,0.0296
P104,Moving Average (28d),41.5155,46.7461,63.5474,38.4492,4.4554,-15.6952,4,False,1.0
P104,Random Forest,17.0832,23.7591,14.7509,15.5086,4.2903,-14.82,4,False,0.0378
P104,"SARIMA (1,1,1)x(1,0,1)7",17.3997,24.4938,15.1218,15.9457,3.6085,-14.9201,4,False,0.0569
P104,XGBoost,16.165,22.8342,13.552,14.5902,3.9178,-13.8582,4,False,0.0
P105,Gradient Boosting,2.9745,4.2313,10.3255,9.7654,1.5603,-0.6795,4,False,0.0
P105,Holt-Winters ES,3.1377,4.3868,13.0543,10.2873,1.1923,-0.179,4,False,0.0211
P105,Moving Average (28d),10.4917,12.0693,61.0922,34.3231,1.9297,-1.7488,4,False,1.0
P105,Random Forest,3.0975,4.343,9.871,10.1549,1.5427,-1.4925,4,False,0.0157
P105,"SARIMA (1,1,1)x(1,0,1)7",3.1843,4.6422,10.5672,10.4616,2.0051,-1.8484,4,False,0.033
P105,XGBoost,2.9936,4.3917,9.6314,9.8634,1.6471,-1.0016,4,False,0.0069
P106,Gradient Boosting,10.7286,19.2804,16.3876,17.4519,1.0219,-2.7745,4,False,0.0484
P106,Holt-Winters ES,11.1947,19.251,18.9826,18.1386,2.0636,-0.9021,4,False,0.0786
P106,Moving Average (28d),21.5554,29.4754,61.3524,34.8071,4.1865,-4.2072,4,False,1.0
P106,Random Forest,10.4594,19.7083,14.0459,16.8235,2.4456,-5.8758,4,False,0.0328
P106,"SARIMA (1,1,1)x(1,0,1)7",10.6844,19.4612,16.2709,17.2518,2.5674,-4.2249,4,False,0.0454
P106,XGBoost,10.0961,19.4193,13.5493,16.2934,2.2774,-4.9786,4,False,0.0033
P107,Gradient Boosting,2.9864,4.8265,11.2575,11.6516,3.1669,-1.4602,4,False,0.001
P107,Holt-Winters ES,3.9265,5.8966,17.2848,15.6498,7.5378,-0.5815,4,False,0.1928
