date,sku,units_sold,unit_price,promo_flag,on_hand,stockout_flag,lag_1,lag_7,lag_14,lag_28,roll_mean_7,roll_std_7,roll_mean_28,roll_std_28,dow,month,weekofyear,trend_idx
2023-01-01,P101,34,5.65,0,3466,0.0,,,,,,,,,6.0,1.0,52.0,7.614406457016675e-05
2023-01-02,P101,167,5.65,0,3299,0.0,34.0,,,,,,,,0.0,1.0,1.0,0.0009898728394121677
2023-01-03,P101,171,5.65,0,3128,0.0,167.0,,,,,,,,1.0,1.0,1.0,0.0019036016142541688
2023-01-04,P101,160,5.66,0,2968,0.0,171.0,,,,,,,,2.0,1.0,1.0,0.00281733038909617
2023-01-05,P101,155,5.66,0,2813,0.0,160.0,,,,,,,,3.0,1.0,1.0,0.003731059163938171
2023-01-06,P101,147,5.66,0,2666,0.0,155.0,,,,,,,,4.0,1.0,1.0,0.004644787938780172
2023-01-07,P101,67,5.66,0,2599,0.0,147.0,,,,,,,,5.0,1.0,1.0,0.005558516713622173
2023-01-08,P101,33,5.66,0,2566,0.0,67.0,34.0,,,128.71428571428572,54.82917193646185,,,6.0,1.0,1.0,0.006472245488464174
2023-01-09,P101,126,5.66,0,2440,0.0,33.0,167.0,,,128.57142857142858,55.11762314316884,,,0.0,1.0,2.0,0.0073859742633061755
2023-01-10,P101,140,5.66,0,2300,0.0,126.0,171.0,,,122.71428571428571,52.4681309168219,,,1.0,1.0,2.0,0.008299703038148176
2023-01-11,P101,173,5.66,0,2127,0.0,140.0,160.0,,,118.28571428571429,48.90028727152935,,,2.0,1.0,2.0,0.009213431812990178
2023-01-12,P101,160,5.67,0,1967,0.0,173.0,155.0,,,120.14285714285714,50.95235870048469,,,3.0,1.0,2.0,0.010127160587832178
2023-01-13,P101,163,5.67,0,1804,0.0,160.0,147.0,,,120.85714285714286,51.55394770344483,,,4.0,1.0,2.0,0.011040889362674179
2023-01-14,P101,75,5.67,0,1729,0.0,163.0,67.0,,,123.14285714285714,53.23353758496164,,,5.0,1.0,2.0,0.011954618137516181
2023-01-15,P101,27,5.67,0,1702,0.0,75.0,33.0,34.0,,124.28571428571429,51.89641697880592,,,6.0,1.0,2.0,0.012868346912358181
2023-01-16,P101,145,5.67,0,1557,0.0,27.0,126.0,167.0,,123.42857142857143,53.674504012169315,,,0.0,1.0,3.0,0.013782075687200183
