date,sku,on_hand,on_order
2023-01-01,P101,3466,0
2023-01-02,P101,3299,0
2023-01-03,P101,3128,0
2023-01-04,P101,2968,0
2023-01-05,P101,2813,0
2023-01-06,P101,2666,0
2023-01-07,P101,2599,0
2023-01-08,P101,2566,0
2023-01-09,P101,2440,0
2023-01-10,P101,2300,0
2023-01-11,P101,2127,0
2023-01-12,P101,1967,0
2023-01-13,P101,1804,0
2023-01-14,P101,1729,0
2023-01-15,P101,1702,0
2023-01-16,P101,1557,0
2023-01-17,P101,1401,0
2023-01-18,P101,1248,0
2023-01-19,P101,1082,0
2023-01-20,P101,947,0
2023-01-21,P101,866,0
2023-01-22,P101,838,0
2023-01-23,P101,681,725
2023-01-24,P101,525,725
2023-01-25,P101,1110,0
2023-01-26,P101,965,0
2023-01-27,P101,826,0
2023-01-28,P101,750,700
2023-01-29,P101,713,700
2023-01-30,P101,564,700
2023-01-31,P101,411,700
2023-02-01,P101,992,0
2023-02-02,P101,857,0
2023-02-03,P101,718,680
2023-02-04,P101,645,680
2023-02-05,P101,609,680
2023-02-06,P101,460,680
2023-02-07,P101,960,0
2023-02-08,P101,804,0
2023-02-09,P101,652,695
2023-02-10,P101,509,695
2023-02-11,P101,430,695
2023-02-12,P101,392,695
2023-02-13,P101,278,695
2023-02-14,P101,154,695
2023-02-15,P101,702,685
2023-02-16,P101,550,685
2023-02-17,P101,394,685
2023-02-18,P101,310,685
2023-02-19,P101,279,685
2023-02-20,P101,793,0
2023-02-21,P101,615,710
2023-02-22,P101,455,710
2023-02-23,P101,286,710
2023-02-24,P101,136,710
2023-02-25,P101,61,710
2023-02-26,P101,26,710
2023-02-27,P101,579,735
2023-02-28,P101,418,735
2023-03-01,P101,234,735
2023-03-02,P101,122,735
2023-03-03,P101,0,735
2023-03-04,P101,0,735
2023-03-05,P101,0,735
2023-03-06,P101,584,725
2023-03-07,P101,449,725
2023-03-08,P101,307,725
2023-03-09,P101,167,725
2023-03-10,P101,0,725
2023-03-11,P101,561,740
2023-03-12,P101,530,740
2023-03-13,P101,380,740
2023-03-14,P101,978,0
2023-03-15,P101,852,0
2023-03-16,P101,699,720
2023-03-17,P101,567,720
2023-03-18,P101,486,720
2023-03-19,P101,459,720
2023-03-20,P101,315,720
2023-03-21,P101,869,0
2023-03-22,P101,702,745
2023-03-23,P101,539,745
2023-03-24,P101,412,745
2023-03-25,P101,323,745
2023-03-26,P101,293,745
2023-03-27,P101,870,0
2023-03-28,P101,707,715
2023-03-29,P101,571,715
2023-03-30,P101,420,715
2023-03-31,P101,265,715
2023-04-01,P101,178,715
2023-04-02,P101,116,715
2023-04-03,P101,0,715
2023-04-04,P101,533,770
2023-04-05,P101,235,770
2023-04-06,P101,65,770
2023-04-07,P101,654,845
2023-04-08,P101,554,845
2023-04-09,P101,526,845
2023-04-10,P101,1229,0
2023-04-11,P101,838,935
2023-04-12,P101,695,935
2023-04-13,P101,561,935
2023-04-14,P101,420,935
2023-04-15,P101,1269,0
2023-04-16,P101,1236,0
2023-04-17,P101,1089,0
2023-04-18,P101,937,885
2023-04-19,P101,788,885
2023-04-20,P101,646,885
2023-04-21,P101,459,885
2023-04-22,P101,374,885
2023-04-23,P101,338,885
