date,sku,units_sold,unit_price,promo_flag
2023-01-01,P101,34,5.65,0
2023-01-02,P101,167,5.65,0
2023-01-03,P101,171,5.65,0
2023-01-04,P101,160,5.66,0
2023-01-05,P101,155,5.66,0
2023-01-06,P101,147,5.66,0
2023-01-07,P101,67,5.66,0
2023-01-08,P101,33,5.66,0
2023-01-09,P101,126,5.66,0
2023-01-10,P101,140,5.66,0
2023-01-11,P101,173,5.66,0
2023-01-12,P101,160,5.67,0
2023-01-13,P101,163,5.67,0
2023-01-14,P101,75,5.67,0
2023-01-15,P101,27,5.67,0
2023-01-16,P101,145,5.67,0
2023-01-17,P101,156,5.67,0
2023-01-18,P101,153,5.67,0
2023-01-19,P101,166,5.67,0
2023-01-20,P101,135,5.68,0
2023-01-21,P101,81,5.68,0
2023-01-22,P101,28,5.68,0
2023-01-23,P101,157,5.68,0
2023-01-24,P101,156,5.68,0
2023-01-25,P101,140,5.68,0
2023-01-26,P101,145,5.68,0
2023-01-27,P101,139,5.68,0
2023-01-28,P101,76,5.68,0
2023-01-29,P101,37,5.69,0
2023-01-30,P101,149,5.69,0
2023-01-31,P101,153,5.69,0
2023-02-01,P101,119,5.69,0
2023-02-02,P101,135,5.69,0
2023-02-03,P101,139,5.69,0
2023-02-04,P101,73,5.69,0
2023-02-05,P101,36,5.69,0
2023-02-06,P101,149,5.7,0
2023-02-07,P101,180,5.7,0
2023-02-08,P101,156,5.7,0
2023-02-09,P101,152,5.7,0
2023-02-10,P101,143,5.7,0
2023-02-11,P101,79,5.7,0
2023-02-12,P101,38,5.7,0
2023-02-13,P101,114,5.7,0
2023-02-14,P101,124,5.7,0
2023-02-15,P101,147,5.71,0
2023-02-16,P101,152,5.71,0
2023-02-17,P101,156,5.71,0
2023-02-18,P101,84,5.71,0
2023-02-19,P101,31,5.71,0
2023-02-20,P101,171,5.71,0
2023-02-21,P101,178,5.71,0
2023-02-22,P101,160,5.71,0
2023-02-23,P101,169,5.71,0
2023-02-24,P101,150,5.72,0
2023-02-25,P101,75,5.72,0
2023-02-26,P101,35,5.72,0
2023-02-27,P101,157,5.72,0
2023-02-28,P101,161,5.72,0
2023-03-01,P101,184,5.72,0
2023-03-02,P101,112,5.72,0
2023-03-03,P101,124,5.72,0
2023-03-04,P101,70,5.72,0
2023-03-05,P101,31,5.72,0
2023-03-06,P101,151,5.73,0
2023-03-07,P101,135,5.73,0
2023-03-08,P101,142,5.73,0
2023-03-09,P101,140,5.73,0
2023-03-10,P101,187,5.73,0
2023-03-11,P101,164,5.73,1
2023-03-12,P101,31,5.73,0
2023-03-13,P101,150,5.73,0
2023-03-14,P101,142,5.73,0
2023-03-15,P101,126,5.73,0
2023-03-16,P101,153,5.73,0
2023-03-17,P101,132,5.74,0
2023-03-18,P101,81,5.74,0
2023-03-19,P101,27,5.74,0
2023-03-20,P101,144,5.74,0
2023-03-21,P101,166,5.74,0
2023-03-22,P101,167,5.74,0
2023-03-23,P101,163,5.74,0
2023-03-24,P101,127,5.74,0
2023-03-25,P101,89,5.74,0
2023-03-26,P101,30,5.74,0
2023-03-27,P101,168,5.74,0
2023-03-28,P101,163,5.74,0
2023-03-29,P101,136,5.74,0
2023-03-30,P101,151,5.75,0
2023-03-31,P101,155,5.75,0
2023-04-01,P101,87,5.75,0
2023-04-02,P101,62,5.75,1
2023-04-03,P101,185,5.75,0
2023-04-04,P101,182,5.75,0
2023-04-05,P101,298,5.75,1
2023-04-06,P101,170,5.75,0
2023-04-07,P101,181,5.75,0
2023-04-08,P101,100,5.75,0
2023-04-09,P101,28,5.75,0
2023-04-10,P101,142,5.75,0
2023-04-11,P101,391,5.75,1
2023-04-12,P101,143,5.75,0
2023-04-13,P101,134,5.75,0
2023-04-14,P101,141,5.75,0
2023-04-15,P101,86,5.75,0
2023-04-16,P101,33,5.76,0
2023-04-17,P101,147,5.76,0
2023-04-18,P101,152,5.76,0
2023-04-20,P101,142,5.76,0
2023-04-21,P101,187,5.76,0
2023-04-22,P101,85,5.76,0
2023-04-23,P101,36,5.76,0
2023-04-24,P101,150,5.76,0
2023-04-25,P101,161,5.76,0
2023-04-26,P101,149,5.76,0
2023-04-27,P101,111,5.76,0
2023-04-28,P101,127,5.76,0
2023-04-29,P101,66,5.76,0
2023-04-30,P101,25,5.76,0
2023-05-01,P101,138,5.76,0
2023-05-02,P101,189,5.76,0
2023-05-03,P101,161,5.76,0
2023-05-04,P101,179,5.76,0
2023-05-05,P101,156,5.76,0
2023-05-06,P101,89,5.76,0
2023-05-07,P101,30,5.76,0
2023-05-08,P101,168,5.76,0
2023-05-09,P101,178,5.76,0
2023-05-10,P101,151,5.76,0
2023-05-11,P101,167,5.76,0
2023-05-12,P101,159,5.76,0
2023-05-13,P101,77,5.76,0
2023-05-14,P101,29,5.76,0
2023-05-15,P101,138,5.76,0
2023-05-16,P101,166,5.76,0
2023-05-17,P101,167,5.76,0
2023-05-18,P101,219,5.76,1
2023-05-19,P101,150,5.76,0
2023-05-20,P101,87,5.76,0
2023-05-21,P101,35,5.76,0
2023-05-22,P101,185,5.76,0
2023-05-23,P101,187,5.76,0
2023-05-24,P101,143,5.76,0
2023-05-25,P101,185,5.76,0
2023-05-26,P101,140,5.76,0
2023-05-27,P101,91,5.76,0
2023-05-28,P101,33,5.76,0
2023-05-29,P101,150,5.76,0
2023-05-30,P101,131,5.76,0
2023-05-31,P101,157,5.76,0
2023-06-01,P101,129,5.76,0
2023-06-02,P101,164,5.76,0
2023-06-03,P101,95,5.76,0
2023-06-04,P101,30,5.76,0
2023-06-05,P101,162,5.76,0
2023-06-06,P101,150,5.76,0
2023-06-07,P101,149,5.76,0
2023-06-08,P101,169,5.76,0
2023-06-09,P101,147,5.76,0
2023-06-10,P101,97,5.76,0
2023-06-11,P101,31,5.76,0
2023-06-12,P101,174,5.76,0
2023-06-13,P101,164,5.76,0
2023-06-14,P101,173,5.76,0
2023-06-15,P101,147,5.76,0
2023-06-16,P101,147,5.76,0
2023-06-17,P101,80,5.76,0
2023-06-18,P101,29,5.76,0
2023-06-19,P101,167,5.76,0
2023-06-20,P101,173,5.76,0
2023-06-21,P101,169,5.76,0
2023-06-22,P101,180,5.76,0
2023-06-23,P101,170,5.76,0
2023-06-24,P101,77,5.76,0
2023-06-25,P101,34,5.76,0
2023-06-26,P101,145,5.76,0
2023-06-27,P101,161,5.76,0
2023-06-28,P101,148,5.76,0
2023-06-29,P101,181,5.75,0
2023-06-30,P101,152,5.75,0
2023-07-01,P101,78,5.75,0
2023-07-02,P101,36,5.75,0
2023-07-03,P101,118,5.75,0
2023-07-04,P101,125,5.75,0
2023-07-05,P101,171,5.75,0
2023-07-06,P101,154,5.75,0
2023-07-07,P101,149,5.75,0
2023-07-08,P101,68,5.75,0
2023-07-09,P101,32,5.75,0
2023-07-10,P101,188,5.75,0
2023-07-11,P101,174,5.75,0
2023-07-12,P101,159,5.75,0
2023-07-13,P101,145,5.75,0
2023-07-14,P101,138,5.75,0
2023-07-15,P101,61,5.75,0
2023-07-16,P101,33,5.74,0
2023-07-17,P101,345,5.74,1
2023-07-18,P101,131,5.74,0
2023-07-19,P101,144,5.74,0
2023-07-20,P101,132,5.74,0
2023-07-21,P101,129,5.74,0
2023-07-22,P101,80,5.74,0
2023-07-23,P101,24,5.74,0
2023-07-24,P101,163,5.74,0
2023-07-25,P101,171,5.74,0
2023-07-26,P101,151,5.74,0
2023-07-27,P101,109,5.74,0
