po_id,sku,supplier_id,order_date,expected_date,delivered_date,quantity,unit_price
PO-P111-0001,P111,S2,2023-01-03,2023-01-18,2023-01-17,2500,70.54
PO-P108-0001,P108,S6,2023-01-04,2023-01-22,2023-01-30,270,418.88
PO-P109-0001,P109,S2,2023-01-04,2023-01-20,2023-01-21,1205,27.85
PO-P110-0001,P110,S2,2023-01-04,2023-01-22,2023-01-16,400,159.2
PO-P107-0001,P107,S4,2023-01-05,2023-01-20,2023-01-25,445,96.58
PO-P112-0001,P112,S6,2023-01-05,2023-01-21,2023-01-15,515,132.59
PO-P105-0001,P105,S4,2023-01-06,2023-01-20,2023-01-19,545,146.69
PO-P104-0001,P104,S4,2023-01-11,2023-01-23,2023-01-23,1180,61.21
PO-P106-0001,P106,S4,2023-01-13,2023-01-24,2023-01-23,830,19.04
PO-P103-0001,P103,S5,2023-01-16,2023-01-26,2023-01-26,485,25.42
PO-P102-0001,P102,S5,2023-01-16,2023-01-25,2023-01-22,920,7.88
PO-P110-0002,P110,S2,2023-01-23,2023-02-10,2023-02-09,415,160.26
PO-P101-0001,P101,S3,2023-01-23,2023-01-28,2023-01-25,725,4.2
PO-P105-0002,P105,S4,2023-02-07,2023-01-24,2023-02-02,530,147.19
PO-P102-0002,P102,S5,2023-01-24,2023-02-02,2023-01-31,975,7.84
PO-P106-0002,P106,S4,2023-01-25,2023-02-05,2023-02-05,860,20.06
PO-P107-0002,P107,S4,2023-01-25,2023-02-09,2023-02-07,415,95.09
PO-P103-0002,P103,S5,2023-01-26,2023-02-05,2023-02-03,545,25.7
PO-P112-0002,P112,S6,2023-01-26,2023-02-11,2023-02-09,485,133.61
PO-P104-0002,P104,S4,2023-01-26,2023-02-07,2023-02-09,1110,59.43
PO-P111-0002,P111,S2,2023-01-27,2023-02-11,2023-02-09,1850,69.54
PO-P101-0002,P101,S3,2023-01-28,2023-02-02,2023-02-01,700,4.15
PO-P109-0002,P109,S2,2023-01-30,2023-02-15,2023-02-12,975,27.8
PO-P108-0002,P108,S6,2023-01-30,2023-02-17,2023-02-26,260,423.39
PO-P101-0003,P101,S3,2023-02-03,2023-02-08,2023-02-07,680,4.25
PO-P103-0003,P103,S5,2023-02-03,2023-02-13,2023-02-10,660,25.9
PO-P102-0003,P102,S5,2023-02-05,2023-02-14,2023-02-09,975,7.65
PO-P106-0003,P106,S4,2023-02-07,2023-02-18,2023-02-14,830,20.12
PO-P101-0004,P101,S3,2023-02-09,2023-02-14,2023-02-15,695,4.16
PO-P104-0003,P104,S4,2023-02-09,2023-02-21,2023-02-17,1135,57.55
PO-P105-0003,P105,S4,2023-02-10,2023-02-24,2023-02-19,505,146.63
PO-P107-0003,P107,S4,2023-02-10,2023-02-25,2023-02-22,430,94.24
PO-P112-0003,P112,S6,2023-02-12,2023-02-28,2023-02-27,510,131.17
PO-P109-0003,P109,S2,2023-02-15,2023-03-03,2023-03-05,1015,27.98
PO-P103-0004,P103,S5,2023-02-15,2023-02-25,2023-02-26,615,24.07
PO-P101-0005,P101,S3,2023-02-15,2023-02-20,2023-02-20,685,4.16
PO-P106-0004,P106,S4,2023-02-17,2023-02-28,2023-03-05,910,20.52
PO-P111-0003,P111,S2,2023-02-17,2023-03-04,2023-03-05,1705,68.46
PO-P102-0004,P102,S5,2023-02-17,2023-02-26,2023-02-26,875,7.76
PO-P110-0003,P110,S2,2023-02-19,2023-03-09,2023-03-10,350,162.98
PO-P104-0004,P104,S4,2023-02-21,2023-03-05,2023-03-09,1190,58.51
PO-P101-0006,P101,S3,2023-02-21,2023-02-26,2023-02-27,710,4.31
PO-P108-0003,P108,S6,2023-02-26,2023-03-16,2023-03-17,255,415.74
PO-P101-0007,P101,S3,2023-02-27,2023-03-04,2023-03-06,735,4.2
PO-P105-0004,P105,S4,2023-02-28,2023-03-14,2023-03-13,495,149.14
PO-P102-0005,P102,S5,2023-03-01,2023-03-10,2023-03-07,855,8.09
PO-P103-0005,P103,S5,2023-03-01,2023-03-11,2023-03-13,565,24.8
PO-P107-0004,P107,S4,2023-03-02,2023-03-17,2023-03-17,400,95.01
PO-P101-0008,P101,S3,2023-03-06,2023-03-11,2023-03-11,725,4.15
PO-P106-0005,P106,S4,2023-03-07,2023-03-18,2023-03-13,775,19.65
PO-P111-0004,P111,S2,2023-03-08,2023-03-23,2023-03-24,1645,71.59
PO-P104-0005,P104,S4,2023-03-09,2023-03-21,2023-03-21,1230,56.09
PO-P102-0006,P102,S5,2023-03-09,2023-03-18,2023-03-21,910,7.8
PO-P109-0004,P109,S2,2023-03-10,2023-03-26,2023-04-01,890,28.93
PO-P112-0004,P112,S6,2023-03-10,2023-03-26,2023-03-28,420,135.42
PO-P101-0009,P101,S3,2023-03-11,2023-03-16,2023-03-14,740,4.14
PO-P110-0004,P110,S2,2023-03-13,2023-03-31,2023-04-05,345,160.02
PO-P103-0006,P103,S5,2023-03-15,2023-03-25,2023-03-28,510,24.96
PO-P105-0005,P105,S4,2023-03-16,2023-03-30,2023-03-30,470,148.54
PO-P101-0010,P101,S3,2023-03-16,2023-03-21,2023-03-21,720,4.11
PO-P108-0004,P108,S6,2023-03-17,2023-04-04,2023-04-06,260,404.4
PO-P106-0006,P106,S4,2023-03-18,2023-03-29,2023-03-27,805,19.54
PO-P107-0005,P107,S4,2023-03-21,2023-04-05,2023-04-07,395,97.95
PO-P102-0007,P102,S5,2023-03-21,2023-03-30,2023-03-31,925,7.67
PO-P104-0006,P104,S4,2023-03-22,2023-04-03,2023-04-09,1200,60.13
PO-P101-0011,P101,S3,2023-03-22,2023-03-27,2023-03-27,745,4.25
PO-P103-0007,P103,S5,2023-03-28,2023-04-07,2023-04-08,550,25.12
PO-P111-0005,P111,S2,2023-03-28,2023-04-12,2023-04-11,1495,68.75
PO-P101-0012,P101,S3,2023-03-28,2023-04-02,2023-04-04,715,4.24
PO-P106-0007,P106,S4,2023-03-31,2023-04-11,2023-04-07,785,19.95
PO-P102-0008,P102,S5,2023-03-31,2023-04-09,2023-04-08,925,7.98
PO-P112-0005,P112,S6,2023-04-03,2023-04-19,2023-04-17,370,129.1
PO-P105-0006,P105,S4,2023-04-03,2023-04-17,2023-04-17,460,149.91
PO-P109-0005,P109,S2,2023-04-04,2023-04-20,2023-04-19,760,27.97
PO-P101-0013,P101,S3,2023-04-04,2023-04-09,2023-04-07,770,4.33
PO-P101-0014,P101,S3,2023-04-07,2023-04-12,2023-04-10,845,4.2
PO-P110-0005,P110,S2,2023-04-08,2023-04-26,2023-04-26,290,157.12
PO-P103-0008,P103,S5,2023-04-09,2023-04-19,2023-04-21,485,25.8
PO-P104-0007,P104,S4,2023-04-09,2023-04-21,2023-04-25,1210,56.91
PO-P102-0009,P102,S5,2023-04-10,2023-04-19,2023-04-23,935,7.47
PO-P107-0006,P107,S4,2023-04-11,2023-04-26,2023-04-26,345,95.8
PO-P108-0005,P108,S6,2023-04-11,2023-04-29,2023-04-29,245,397.45
PO-P101-0015,P101,S3,2023-04-11,2023-04-16,2023-04-15,935,4.17
PO-P106-0008,P106,S4,2023-04-14,2023-04-25,2023-04-27,740,20.36
PO-P111-0006,P111,S2,2023-04-14,2023-04-29,2023-04-24,1490,70.64
PO-P101-0016,P101,S3,2023-04-18,2023-04-23,2023-04-24,885,4.08
PO-P105-0007,P105,S4,2023-04-18,2023-05-02,2023-05-01,470,144.19
PO-P109-0006,P109,S2,2023-04-19,2023-05-05,2023-05-02,815,28.39
PO-P112-0006,P112,S6,2023-04-20,2023-05-06,2023-05-05,375,135.71
PO-P103-0009,P103,S5,2023-04-21,2023-05-01,2023-05-11,520,24.0
PO-P102-0010,P102,S5,2023-04-23,2023-05-02,2023-05-03,930,7.7
PO-P104-0008,P104,S4,2023-04-25,2023-05-07,2023-05-07,1060,58.88
PO-P101-0017,P101,S3,2023-04-26,2023-05-01,2023-05-02,720,4.15
PO-P107-0007,P107,S4,2023-04-26,2023-05-11,2023-05-09,365,96.27
PO-P106-0009,P106,S4,2023-04-27,2023-05-08,2023-05-03,745,20.18
PO-P110-0006,P110,S2,2023-04-28,2023-05-16,2023-05-16,290,163.49
PO-P111-0007,P111,S2,2023-05-02,2023-05-17,2023-05-16,1530,69.44
PO-P101-0018,P101,S3,2023-05-03,2023-05-08,2023-05-09,710,4.2
PO-P102-0011,P102,S5,2023-05-04,2023-05-13,2023-05-14,870,7.72
PO-P108-0006,P108,S6,2023-05-04,2023-05-22,2023-05-29,225,416.43
PO-P105-0008,P105,S4,2023-05-08,2023-05-22,2023-05-20,430,150.2
PO-P112-0007,P112,S6,2023-05-09,2023-05-25,2023-05-21,390,133.53
PO-P104-0009,P104,S4,2023-05-09,2023-05-21,2023-05-19,1045,58.0
PO-P101-0019,P101,S3,2023-05-09,2023-05-14,2023-05-15,725,4.19
PO-P106-0010,P106,S4,2023-05-10,2023-05-21,2023-05-21,740,20.27
PO-P109-0007,P109,S2,2023-05-10,2023-05-26,2023-06-04,750,28.2
PO-P103-0010,P103,S5,2023-05-11,2023-05-21,2023-05-17,500,24.39
PO-P107-0008,P107,S4,2023-05-13,2023-05-28,2023-05-24,375,96.59
PO-P102-0012,P102,S5,2023-05-14,2023-05-23,2023-05-21,890,7.74
PO-P101-0020,P101,S3,2023-05-15,2023-05-20,2023-05-20,770,4.29
PO-P111-0008,P111,S2,2023-05-18,2023-06-02,2023-06-04,1545,70.53
PO-P110-0007,P110,S2,2023-05-20,2023-06-07,2023-05-29,285,156.83
PO-P101-0021,P101,S3,2023-05-20,2023-05-25,2023-05-23,775,4.22
PO-P103-0011,P103,S5,2023-05-22,2023-06-01,2023-05-30,495,25.91
PO-P104-0010,P104,S4,2023-05-24,2023-06-05,2023-06-04,1000,58.75
PO-P106-0011,P106,S4,2023-05-25,2023-06-05,2023-06-03,680,20.09
PO-P101-0022,P101,S3,2023-05-25,2023-05-30,2023-05-31,795,4.0
PO-P102-0013,P102,S5,2023-05-25,2023-06-03,2023-05-31,830,7.85
PO-P105-0009,P105,S4,2023-05-26,2023-06-09,2023-06-04,405,149.58
PO-P112-0008,P112,S6,2023-05-26,2023-06-11,2023-06-14,400,134.79
PO-P108-0007,P108,S6,2023-05-29,2023-06-16,2023-06-21,220,408.93
PO-P101-0023,P101,S3,2023-05-31,2023-06-05,2023-06-04,780,4.18
PO-P107-0009,P107,S4,2023-06-02,2023-06-17,2023-06-17,350,93.83
PO-P103-0012,P103,S5,2023-06-02,2023-06-12,2023-06-09,510,25.15
PO-P109-0008,P109,S2,2023-06-04,2023-06-20,2023-06-18,845,27.88
PO-P102-0014,P102,S5,2023-06-06,2023-06-15,2023-06-14,810,7.95
PO-P106-0012,P106,S4,2023-06-07,2023-06-18,2023-06-17,690,19.68
PO-P111-0009,P111,S2,2023-06-07,2023-06-22,2023-06-20,1495,70.49
PO-P101-0024,P101,S3,2023-06-07,2023-06-12,2023-06-12,725,4.25
PO-P104-0011,P104,S4,2023-06-08,2023-06-20,2023-06-18,945,58.27
PO-P110-0008,P110,S2,2023-06-10,2023-06-28,2023-06-30,285,160.33
PO-P105-0010,P105,S4,2023-06-10,2023-06-24,2023-06-21,415,150.68
PO-P101-0025,P101,S3,2023-06-13,2023-06-18,2023-06-17,750,4.16
PO-P103-0013,P103,S5,2023-06-13,2023-06-23,2023-06-23,525,25.7
PO-P102-0015,P102,S5,2023-06-16,2023-06-25,2023-06-18,800,7.7
PO-P112-0009,P112,S6,2023-06-16,2023-07-02,2023-06-30,410,137.31
PO-P106-0013,P106,S4,2023-06-19,2023-06-30,2023-06-26,710,19.92
PO-P107-0010,P107,S4,2023-06-19,2023-07-04,2023-07-07,350,92.18
PO-P101-0026,P101,S3,2023-06-19,2023-06-24,2023-06-24,750,4.25
PO-P109-0009,P109,S2,2023-06-19,2023-07-05,2023-07-05,845,27.6
PO-P104-0012,P104,S4,2023-06-21,2023-07-03,2023-07-02,975,58.91
PO-P108-0008,P108,S6,2023-06-22,2023-07-10,2023-07-03,195,417.83
PO-P101-0027,P101,S3,2023-06-24,2023-06-29,2023-06-30,775,3.94
PO-P111-0010,P111,S2,2023-06-26,2023-07-11,2023-07-16,1395,71.76
PO-P102-0016,P102,S5,2023-06-26,2023-07-05,2023-07-05,830,7.98
PO-P103-0014,P103,S5,2023-06-27,2023-07-07,2023-07-04,475,24.37
PO-P105-0011,P105,S4,2023-06-28,2023-07-12,2023-07-14,400,150.51
PO-P110-0009,P110,S2,2023-06-30,2023-07-18,2023-07-22,410,162.28
PO-P101-0028,P101,S3,2023-06-30,2023-07-05,2023-07-03,770,4.15
PO-P106-0014,P106,S4,2023-07-04,2023-07-15,2023-07-13,650,20.0
PO-P102-0017,P102,S5,2023-07-05,2023-07-14,2023-07-11,855,7.83
PO-P112-0010,P112,S6,2023-07-05,2023-07-21,2023-07-26,375,134.92
PO-P109-0010,P109,S2,2023-07-05,2023-07-21,2023-07-21,895,28.42
PO-P101-0029,P101,S3,2023-07-06,2023-07-11,2023-07-08,720,4.2
PO-P104-0013,P104,S4,2023-07-08,2023-07-20,2023-07-19,885,58.66
PO-P108-0009,P108,S6,2023-07-10,2023-07-28,2023-07-30,210,416.51
PO-P107-0011,P107,S4,2023-07-11,2023-07-26,2023-07-29,310,96.36
PO-P103-0015,P103,S5,2023-07-11,2023-07-21,2023-07-29,425,25.6
PO-P101-0030,P101,S3,2023-07-12,2023-07-17,2023-07-18,735,4.24
PO-P106-0015,P106,S4,2023-07-13,2023-07-24,2023-07-26,755,19.66
PO-P105-0012,P105,S4,2023-07-14,2023-07-28,2023-07-26,390,146.08
PO-P111-0011,P111,S2,2023-07-16,2023-07-31,2023-07-30,1500,68.33
PO-P102-0018,P102,S5,2023-07-18,2023-07-27,2023-07-22,765,7.58
PO-P101-0031,P101,S3,2023-07-18,2023-07-23,2023-07-23,800,4.39
PO-P104-0014,P104,S4,2023-07-19,2023-07-31,2023-07-28,1000,56.81
PO-P101-0032,P101,S3,2023-07-24,2023-07-29,2023-07-30,765,4.24
PO-P109-0011,P109,S2,2023-07-25,2023-08-10,2023-08-02,875,28.23
PO-P102-0019,P102,S5,2023-07-26,2023-08-04,2023-08-04,830,7.84
PO-P112-0011,P112,S6,2023-07-26,2023-08-11,2023-08-13,425,131.9
PO-P110-0010,P110,S2,2023-07-26,2023-08-13,2023-08-11,325,165.3
PO-P107-0012,P107,S4,2023-07-29,2023-08-13,2023-08-16,305,97.93
PO-P103-0016,P103,S5,2023-07-29,2023-08-08,2023-08-08,455,25.27
PO-P106-0016,P106,S4,2023-07-29,2023-08-09,2023-08-04,635,19.63
PO-P108-0010,P108,S6,2023-07-30,2023-08-17,2023-08-21,220,423.27
PO-P111-0012,P111,S2,2023-07-30,2023-08-14,2023-08-18,1600,71.65
