date,sku,units_sold,unit_price,promo_flag
2023-01-01,P101,34.0,5.65,0
2023-01-02,P101,167.0,5.65,0
2023-01-03,P101,171.0,5.65,0
2023-01-04,P101,160.0,5.66,0
2023-01-05,P101,155.0,5.66,0
2023-01-06,P101,147.0,5.66,0
2023-01-07,P101,67.0,5.66,0
2023-01-08,P101,33.0,5.66,0
2023-01-09,P101,126.0,5.66,0
2023-01-10,P101,140.0,5.66,0
2023-01-11,P101,173.0,5.66,0
2023-01-12,P101,160.0,5.67,0
2023-01-13,P101,163.0,5.67,0
2023-01-14,P101,75.0,5.67,0
2023-01-15,P101,27.0,5.67,0
2023-01-16,P101,145.0,5.67,0
2023-01-17,P101,156.0,5.67,0
2023-01-18,P101,153.0,5.67,0
2023-01-19,P101,166.0,5.67,0
2023-01-20,P101,135.0,5.68,0
2023-01-21,P101,81.0,5.68,0
2023-01-22,P101,28.0,5.68,0
2023-01-23,P101,157.0,5.68,0
2023-01-24,P101,156.0,5.68,0
2023-01-25,P101,140.0,5.68,0
2023-01-26,P101,145.0,5.68,0
2023-01-27,P101,139.0,5.68,0
2023-01-28,P101,76.0,5.68,0
2023-01-29,P101,37.0,5.69,0
2023-01-30,P101,149.0,5.69,0
2023-01-31,P101,153.0,5.69,0
2023-02-01,P101,119.0,5.69,0
2023-02-02,P101,135.0,5.69,0
2023-02-03,P101,139.0,5.69,0
2023-02-04,P101,73.0,5.69,0
2023-02-05,P101,36.0,5.69,0
2023-02-06,P101,149.0,5.7,0
2023-02-07,P101,180.0,5.7,0
2023-02-08,P101,156.0,5.7,0
2023-02-09,P101,152.0,5.7,0
2023-02-10,P101,143.0,5.7,0
2023-02-11,P101,79.0,5.7,0
2023-02-12,P101,38.0,5.7,0
2023-02-13,P101,114.0,5.7,0
2023-02-14,P101,124.0,5.7,0
2023-02-15,P101,147.0,5.71,0
2023-02-16,P101,152.0,5.71,0
2023-02-17,P101,156.0,5.71,0
2023-02-18,P101,84.0,5.71,0
2023-02-19,P101,31.0,5.71,0
2023-02-20,P101,171.0,5.71,0
2023-02-21,P101,178.0,5.71,0
2023-02-22,P101,160.0,5.71,0
2023-02-23,P101,169.0,5.71,0
2023-02-24,P101,150.0,5.72,0
2023-02-25,P101,75.0,5.72,0
2023-02-26,P101,35.0,5.72,0
2023-02-27,P101,157.0,5.72,0
2023-02-28,P101,161.0,5.72,0
2023-03-01,P101,184.0,5.72,0
2023-03-02,P101,112.0,5.72,0
2023-03-03,P101,124.0,5.72,0
2023-03-04,P101,70.0,5.72,0
2023-03-05,P101,31.0,5.72,0
2023-03-06,P101,151.0,5.73,0
2023-03-07,P101,135.0,5.73,0
2023-03-08,P101,142.0,5.73,0
2023-03-09,P101,140.0,5.73,0
2023-03-10,P101,187.0,5.73,0
2023-03-11,P101,164.0,5.73,1
2023-03-12,P101,31.0,5.73,0
2023-03-13,P101,150.0,5.73,0
2023-03-14,P101,142.0,5.73,0
2023-03-15,P101,126.0,5.73,0
2023-03-16,P101,153.0,5.73,0
2023-03-17,P101,132.0,5.74,0
2023-03-18,P101,81.0,5.74,0
2023-03-19,P101,27.0,5.74,0
2023-03-20,P101,144.0,5.74,0
2023-03-21,P101,166.0,5.74,0
2023-03-22,P101,167.0,5.74,0
2023-03-23,P101,163.0,5.74,0
2023-03-24,P101,127.0,5.74,0
2023-03-25,P101,89.0,5.74,0
2023-03-26,P101,30.0,5.74,0
2023-03-27,P101,168.0,5.74,0
2023-03-28,P101,163.0,5.74,0
2023-03-29,P101,136.0,5.74,0
2023-03-30,P101,151.0,5.75,0
2023-03-31,P101,155.0,5.75,0
2023-04-01,P101,87.0,5.75,0
2023-04-02,P101,62.0,5.75,1
2023-04-03,P101,185.0,5.75,0
2023-04-04,P101,182.0,5.75,0
2023-04-05,P101,298.0,5.75,1
2023-04-06,P101,170.0,5.75,0
2023-04-07,P101,181.0,5.75,0
2023-04-08,P101,100.0,5.75,0
2023-04-09,P101,28.0,5.75,0
2023-04-10,P101,142.0,5.75,0
2023-04-11,P101,391.0,5.75,1
2023-04-12,P101,143.0,5.75,0
2023-04-13,P101,134.0,5.75,0
