sku,supplier_id,unit_price,quoted_lead_days,lead_time_std,is_primary
P101,S3,4.2,5,1.2,True
P101,S1,3.91,8,2.0,False
P102,S5,7.8,9,2.5,True
P102,S1,8.74,7,1.8,False
P103,S5,25.17,10,3.0,True
P103,S1,29.15,8,2.0,False
P104,S4,58.0,12,2.5,True
P104,S3,62.64,6,1.5,False
P104,S1,60.9,9,2.2,False
P105,S4,148.0,14,3.0,True
P105,S3,165.76,9,2.0,False
P106,S4,19.9,11,2.5,True
P106,S1,19.1,8,2.2,False
P107,S4,96.0,15,3.5,True
P107,S1,101.76,10,2.5,False
P108,S6,412.0,18,4.0,True
P108,S1,469.68,12,3.0,False
P109,S2,27.9,16,4.5,True
P109,S1,33.48,9,2.0,False
P109,S6,37.2,13,3.0,False
P110,S2,161.92,18,5.0,True
P110,S6,202.4,14,3.2,False
P111,S2,69.56,15,4.0,True
P111,S1,77.7,8,2.0,False
P112,S6,132.0,16,3.5,True
P112,S2,116.16,20,5.5,False
